0	1.5283	0.0000	0.0000	0.5638	0.0712	0.1484	0.0358	0.0711	0.5717	0.0764	0.1725	0.0354	0.0761
1	0.8713	0.0000	0.0000	0.4836	0.0832	0.1924	0.0436	0.0831	0.4814	0.0833	0.1888	0.0418	0.0833
2	0.6604	0.0000	0.0000	0.3928	0.0341	0.0768	0.0382	0.0345	0.4113	0.0485	0.1007	0.0379	0.0489
3	0.5486	0.0000	0.0000	0.3242	0.0271	0.3074	0.0322	0.0281	0.3220	0.0182	0.0620	0.0305	0.0192
4	0.4488	0.0000	0.0000	0.3358	0.0393	0.2067	0.0352	0.0392	0.3435	0.0489	0.0941	0.0355	0.0488
5	0.3868	0.0000	0.0000	0.2530	0.0391	0.1937	0.0277	0.0399	0.2614	0.0310	0.3063	0.0266	0.0303
6	0.3523	0.0000	0.0000	0.2332	0.0333	0.0778	0.0244	0.0328	0.2336	0.0325	0.1906	0.0232	0.0314
7	0.3194	0.0000	0.0000	0.3022	0.0505	0.1986	0.0408	0.0524	0.3017	0.0462	0.3182	0.0401	0.0460
8	0.3000	0.0000	0.0000	0.2106	0.0436	0.1741	0.0179	0.0395	0.2189	0.0350	0.0693	0.0176	0.0311
9	0.2826	0.0000	0.0000	0.2472	0.0270	0.1956	0.0298	0.0252	0.2531	0.0271	0.1934	0.0274	0.0246
10	0.2696	0.0000	0.0000	0.2140	0.0195	0.1613	0.0195	0.0199	0.2124	0.0140	0.1891	0.0193	0.0133
11	0.2604	0.0000	0.0000	0.2638	0.0664	0.1939	0.0338	0.0663	0.2655	0.0670	0.2027	0.0330	0.0669
12	0.2508	0.0000	0.0000	0.2508	0.0148	0.1854	0.0338	0.0146	0.2683	0.0290	0.1890	0.0348	0.0314
13	0.2458	0.0000	0.0000	0.2380	0.0334	0.1923	0.0298	0.0298	0.2366	0.0294	0.0962	0.0280	0.0292
14	0.2349	0.0000	0.0000	0.1916	0.0269	0.1909	0.0189	0.0259	0.1936	0.0252	0.1758	0.0201	0.0252
15	0.2315	0.0000	0.0000	0.2508	0.0171	0.1842	0.0305	0.0163	0.2517	0.0118	0.1896	0.0294	0.0127
16	0.2242	0.0000	0.0000	0.3128	0.0840	0.1523	0.0411	0.0833	0.3187	0.0845	0.1830	0.0405	0.0845
17	0.2161	0.0000	0.0000	0.1782	0.0304	0.1911	0.0177	0.0281	0.1756	0.0315	0.1018	0.0172	0.0315
18	0.2192	0.0000	0.0000	0.1990	0.0208	0.1413	0.0233	0.0186	0.1961	0.0216	0.3076	0.0230	0.0207
19	0.2066	0.0000	0.0000	0.2084	0.0092	0.0371	0.0226	0.0100	0.2109	0.0103	0.0448	0.0217	0.0086
20	0.2047	0.0000	0.0000	0.2302	0.0240	0.1792	0.0268	0.0248	0.2280	0.0151	0.1638	0.0260	0.0137
21	0.2049	0.0000	0.0000	0.2108	0.0292	0.1857	0.0279	0.0288	0.2174	0.0294	0.1893	0.0266	0.0287
22	0.2016	0.0000	0.0000	0.1976	0.0189	0.1950	0.0251	0.0193	0.1977	0.0186	0.1936	0.0246	0.0198
23	0.2004	0.0000	0.0000	0.1878	0.0225	0.8234	0.0242	0.0193	0.1846	0.0185	0.0942	0.0222	0.0171
24	0.2038	0.0000	0.0000	0.2012	0.0135	0.1851	0.0237	0.0121	0.2100	0.0120	0.1918	0.0237	0.0113
25	0.1958	0.0000	0.0000	0.1958	0.0158	0.8006	0.0191	0.0118	0.1974	0.0136	0.1837	0.0208	0.0134
26	0.1924	0.0000	0.0000	0.2122	0.0182	0.0771	0.0279	0.0219	0.2161	0.0212	0.1769	0.0267	0.0209
27	0.1916	0.0000	0.0000	0.2636	0.0622	0.1377	0.0357	0.0611	0.2652	0.0574	0.3080	0.0358	0.0573
28	0.1930	0.0000	0.0000	0.2674	0.0627	0.1229	0.0379	0.0629	0.2667	0.0581	0.1943	0.0387	0.0580
29	0.1900	0.0000	0.0000	0.2456	0.0418	0.0933	0.0347	0.0418	0.2528	0.0515	0.0844	0.0350	0.0516
30	0.1899	0.0000	0.0000	0.1888	0.0131	0.1450	0.0218	0.0097	0.2039	0.0127	0.2114	0.0224	0.0135
